DateTime,High,Low,Close
09/18/2013 13:24:06.325,0.75,-0.75,0.75
09/18/2013 13:24:18.692,0.0,-0.75,0.0
09/18/2013 13:24:23.982,0.5,-0.75,0.5
09/18/2013 13:24:36.145,0.25,-0.5,0.25
09/18/2013 13:24:53.212,0.5,-0.75,0.75
09/18/2013 13:25:03.814,0.25,-0.5,0.5
09/18/2013 13:25:12.009,0.25,-0.5,0.5
09/18/2013 13:25:27.166,0.0,-0.75,0.0
09/18/2013 13:25:38.693,0.5,-0.5,0.25
09/18/2013 13:25:55.324,0.25,-0.25,0.0
09/18/2013 13:26:17.305,0.25,-0.25,0.0
09/18/2013 13:26:28.874,0.0,-0.5,0.5
09/18/2013 13:26:38.260,0.0,-0.75,0.25
09/18/2013 13:26:56.655,0.25,-0.25,0.25
09/18/2013 13:27:05.008,0.0,-0.5,0.25
09/18/2013 13:27:12.055,0.5,-0.75,0.5
09/18/2013 13:27:31.913,0.0,-0.5,0.0
09/18/2013 13:27:47.027,0.0,-0.5,0.0
09/18/2013 13:27:53.466,0.25,-0.5,0.25
09/18/2013 13:27:59.838,0.0,-0.5,0.0
09/18/2013 13:28:14.091,0.25,-0.5,0.0
09/18/2013 13:28:23.292,0.0,-0.5,0.0
09/18/2013 13:28:32.798,0.25,-0.25,0.25
09/18/2013 13:28:38.296,0.5,-0.5,0.0
09/18/2013 13:28:46.839,0.25,-0.5,0.5
09/18/2013 13:28:59.529,0.25,-0.5,0.0
09/18/2013 13:29:08.348,0.5,-0.75,0.0
09/18/2013 13:29:21.459,0.5,-0.75,0.0
09/18/2013 13:29:26.749,0.5,-0.5,0.25
09/18/2013 13:29:36.172,0.0,-1.0,0.25
09/18/2013 13:29:38.938,0.75,-0.75,0.5
09/18/2013 13:29:56.832,0.25,-0.75,0.5
09/18/2013 13:30:03.602,0.5,-0.75,0.5
09/18/2013 13:30:22.723,0.25,-0.75,0.5
09/18/2013 13:30:39.302,0.25,-0.5,0.5
09/18/2013 13:30:58.908,0.0,-0.75,0.5
09/18/2013 13:31:13.722,0.5,-1.0,1.0
09/18/2013 13:31:21.164,0.0,-0.5,0.25
09/18/2013 13:31:30.230,0.75,-0.75,0.5
09/18/2013 13:31:42.948,0.25,-0.75,0.25
09/18/2013 13:31:56.813,0.25,-1.0,0.25
09/18/2013 13:32:22.616,0.5,-0.5,0.25
09/18/2013 13:32:37.229,0.25,-0.75,0.0
09/18/2013 13:32:55.135,0.25,-0.5,0.5
09/18/2013 13:33:06.300,0.0,-0.75,0.5
09/18/2013 13:33:23.569,0.0,-0.25,0.0
09/18/2013 13:33:34.996,0.0,-0.5,0.25
09/18/2013 13:33:42.450,0.25,-1.0,0.25
09/18/2013 13:33:46.784,0.5,-0.75,0.0
09/18/2013 13:33:50.730,0.25,-0.5,0.25
09/18/2013 13:34:01.725,0.5,-0.5,0.25
09/18/2013 13:34:06.350,0.25,-0.25,0.25
09/18/2013 13:34:14.333,0.5,-0.75,0.5
09/18/2013 13:34:26.699,0.5,-0.75,0.5
09/18/2013 13:34:36.516,0.25,-0.5,0.25
09/18/2013 13:34:45.982,0.5,-0.75,0.25
09/18/2013 13:34:59.686,0.75,-0.75,0.5
09/18/2013 13:35:12.690,0.25,-0.5,0.25
09/18/2013 13:35:23.919,0.25,-0.5,0.5
09/18/2013 13:35:35.545,0.0,-0.5,0.0
09/18/2013 13:35:43.456,0.5,-0.5,0.5
09/18/2013 13:35:55.671,0.5,-0.75,0.25
09/18/2013 13:36:07.283,0.5,-0.5,0.0
09/18/2013 13:36:16.306,0.25,-0.75,0.25
09/18/2013 13:36:38.153,0.25,-0.5,0.5
09/18/2013 13:37:00.515,0.0,-0.5,0.5
09/18/2013 13:37:20.247,0.0,-0.5,0.25
09/18/2013 13:37:51.775,0.0,-0.25,0.25
09/18/2013 13:37:59.553,0.0,-0.5,0.25
09/18/2013 13:38:17.102,0.0,-0.5,0.0
09/18/2013 13:38:21.767,0.25,-0.75,0.75
09/18/2013 13:38:36.221,0.25,-0.5,0.5
09/18/2013 13:38:54.060,0.5,-0.75,0.5
09/18/2013 13:39:13.895,0.5,-0.75,0.75
09/18/2013 13:39:37.553,0.0,-0.75,0.25
09/18/2013 13:39:41.607,0.5,-0.5,0.25
09/18/2013 13:39:58.652,0.5,-0.5,0.5
09/18/2013 13:40:16.735,0.0,-0.5,0.0
09/18/2013 13:40:34.924,0.5,-0.5,0.25
09/18/2013 13:41:00.402,0.25,-1.0,0.25
